name,total_tokens,total_sequences,min_tokens,max_tokens,mean_tokens,Q1_tokens,Q2_tokens,Q3_tokens,dataset,subset,language
nemotron-posttraining-fr-think-translated_fr,6461612501,985474,181,29972,6556.857411763273,2857.0,5567.0,9254.0,nemotron-posttraining-fr-think-translated,,fr
opendata_fr,5630791179,8078669,2,508741,696.9949107953303,64.0,148.0,539.0,opendata,,fr
opene-edition_fr,3412483041,938968,2,2033502,3634.2910951171925,317.0,1188.0,5335.0,opene-edition,,fr
parlement_fr,579228589,2803517,2,136282,206.60783901078537,11.0,31.0,132.0,parlement,,fr
pleias-synth_fr,789358735,2456695,18,9959,321.3092121732653,258.0,302.0,348.0,pleias-synth,,fr
synthetic-fineweb_extract-knowledge-easy_fr,1889686127,6017951,29,5397,314.0082275512047,215.0,299.0,392.0,synthetic-fineweb,extract-knowledge-easy,fr
synthetic-fineweb_extract-knowledge-hard_fr,2822215112,6284089,34,4603,449.1048920535658,307.0,440.0,564.0,synthetic-fineweb,extract-knowledge-hard,fr
synthetic-fineweb_extract-knowledge-medium_fr,6411517721,12557529,5,5881,510.5716037765073,338.0,491.0,652.0,synthetic-fineweb,extract-knowledge-medium,fr
theses_fr,13269888108,102412,2295,6138633,129573.56665234543,78684.0,105134.5,145887.25,theses,,fr
wikimedia-vikidia_fr,5226710174,9702359,7,566112,538.7050895560554,52.0,76.0,241.0,wikimedia-vikidia,,fr
wikipedia-synthetic-qa_fr,3962030949,2774252,125,440673,1428.1438560736372,412.0,692.0,1354.0,wikipedia-synthetic-qa,,fr
youtube_fr,312094674,37513,10,217026066,8319.640497960707,606.0,1335.0,2745.0,youtube,,fr
aya_dataset_it,78576,738,13,1041,106.47154471544715,36.0,63.0,139.0,aya,dataset,it
common-corpus_italian-pd_it,15567171967,1422901,80,23040,10940.446290360327,10158.0,11208.0,12229.0,common-corpus,italian-pd,it
culturax_it,107871530896,143459212,17,104031,751.9317121022525,255.0,480.0,848.0,culturax,,it
fineweb2_edu3+_it,48614329094,55760335,56,185898,871.8442795223523,330.0,551.0,929.0,fineweb2,edu3+,it
fineweb2_edu4_it,1520399719,1490674,58,154608,1019.9411266313091,446.0,700.0,1137.0,fineweb2,edu4,it
fineweb2_hq_it,9780775315,13982343,53,262565,699.5090390072679,161.0,316.0,697.0,fineweb2,hq,it
fineweb2_it,109592084512,155141845,53,262565,706.3992600577877,229.0,426.0,763.0,fineweb2,,it
gutenberg_it,122508810,985,9,756491,124374.42639593908,50180.0,95088.0,166776.0,gutenberg,,it
nemotron-posttraining-it_it,630087011,1016503,13,25359,619.8575026340305,379.0,571.0,775.0,nemotron-posttraining-it,,it
nemotron-posttraining-it-think_it,6078372419,1016503,162,30665,5979.689601506341,2621.0,5090.0,8436.0,nemotron-posttraining-it-think,,it
wikimedia-vikidia_it,2679100514,2760467,6,349403,970.524376491369,79.0,283.0,847.0,wikimedia-vikidia,,it
finemath-filtered_3plus_math,28220605662,15185319,15,1048225,1858.4137522563733,505.0,864.0,1630.0,finemath-filtered,3plus,math
finemath-filtered_4plus_math,7335179702,4620948,33,1035650,1587.3755129899753,533.0,894.0,1643.0,finemath-filtered,4plus,math
infiwebmath-filtered_3plus_math,16212270174,10466556,26,647178,1548.9593877871575,472.0,854.0,1663.0,infiwebmath-filtered,3plus,math
infiwebmath-filtered_4plus_math,6682895351,4762352,37,534495,1403.2762280066656,469.0,836.0,1595.0,infiwebmath-filtered,4plus,math
math-pile_math,9605928727,729213,5,5925909,13173.00806074494,781.0,5394.0,18547.0,math-pile,,math
megamath-web-filtered_math,164606272128,71568739,5,1240838,2299.9744641022667,365.0,774.0,1775.0,megamath-web-filtered,,math
nemotron-posttraining-math_math,192663791,239467,92,16159,804.5525730058839,526.0,736.0,1010.0,nemotron-posttraining-math,,math
open-math-instruct_math,338153310,1579780,15,2309,214.05088683234374,159.0,201.0,253.0,open-math-instruct,,math
common-corpus_eurlex_multi,14752419752,1803972,75,104809,8177.743197787992,1020.0,7468.0,11338.0,common-corpus,eurlex,multi
common-corpus_gatt-library_multi,169255697,55289,101,28318,3061.290618387021,439.0,1139.0,4174.0,common-corpus,gatt-library,multi
common-corpus_marianne-europe_multi,3949306974,699666,59,56298,5644.56036737529,1093.0,4387.0,10379.0,common-corpus,marianne-europe,multi
common-corpus_oecd_multi,499588798,68581,70,32096,7284.653154663828,2902.0,9266.0,10759.0,common-corpus,oecd,multi
common-corpus_tedeutenders_multi,128106946,51785,72,23834,2473.8234237713623,363.0,646.0,1481.0,common-corpus,tedeutenders,multi
common-corpus_wto_multi,2364538150,644356,67,52437,3669.6145453755375,680.0,1158.0,5889.0,common-corpus,wto,multi
europarl_multi,408584438,62440,4,174827,6543.632895579756,14.0,24.0,2305.5,europarl,,multi
eurovoc_filtered_multi,8806776197,1748652,69,21701229,5036.322948762819,633.0,1083.0,2875.0,eurovoc,filtered,multi
pleias-synth_multi,3061249858,8661464,11,10102,353.4333061939644,279.0,329.0,382.0,pleias-synth,,multi
aya_dataset_nl,259984,1733,11,7275,150.0196191575303,47.0,82.0,148.0,aya,dataset,nl
common-corpus_dutch-pd_nl,2268871073,204758,88,24266,11080.74445442913,10259.0,11809.0,12971.0,common-corpus,dutch-pd,nl
culturax_nl,53067672052,79870448,19,80728,664.4218654188593,196.0,398.0,738.0,culturax,,nl
fineweb2_edu3+_nl,24090581250,29400205,55,187521,819.401811994168,274.0,488.0,863.0,fineweb2,edu3+,nl
fineweb2_edu4_nl,1167962483,1277844,57,150590,914.010225817862,367.0,611.0,1023.0,fineweb2,edu4,nl
fineweb2_hq_nl,4941098904,7703307,54,160548,641.4256765308718,138.0,287.0,639.0,fineweb2,hq,nl
fineweb2_nl,60913778060,97104880,54,187521,627.2988346208759,189.0,365.0,686.0,fineweb2,,nl
gutenberg_nl,100067106,993,6,1163891,100772.51359516617,30914.0,65493.0,123632.0,gutenberg,,nl
wikimedia_nl,1414429674,3157316,10,540624,447.9848307866555,61.0,117.0,369.0,wikimedia,,nl
aya_dataset_pt,646000,8997,8,958,71.80171168167166,28.0,49.0,88.0,aya,dataset,pt
common-corpus_portuguese-pd_pt,40074641,4177,118,19873,9594.120421355039,6880.0,9761.0,11790.0,common-corpus,portuguese-pd,pt
culturax_pt,80111003859,114991820,12,64206,696.6669790859906,233.0,430.0,771.0,culturax,,pt
fineweb2_edu3+_pt,42066604695,49728478,54,256266,845.9258434372352,301.0,510.0,876.0,fineweb2,edu3+,pt
fineweb2_edu4_pt,2313079885,2468352,57,170616,937.0948248061865,406.0,665.0,1079.0,fineweb2,edu4,pt
fineweb2_hq_pt,7395599262,10898883,54,281125,678.5648824746536,149.0,315.0,703.0,fineweb2,hq,pt
fineweb2_pt,80281932086,117981538,54,281126,680.461820102735,218.0,398.0,724.0,fineweb2,,pt
gutenberg_pt,37851677,623,13,4787873,60757.10593900482,12753.0,32870.0,80784.0,gutenberg,,pt
wikimedia-vikidia_pt,1246791056,1764890,8,663010,706.4412263653826,60.0,178.0,599.0,wikimedia-vikidia,,pt
fineweb2_regional,8733294950,12082034,60,183555,722.8331711365818,249.0,449.0,817.0,fineweb2,,regional
pleias-synth_regional,77388,34,305,3486,2276.1176470588234,1460.25,2623.5,3154.25,pleias-synth,,regional
wikimedia-vikidia_regional,488384673,851598,5,492456,573.4920384970374,107.0,184.0,559.0,wikimedia-vikidia,,regional
