==========================================
Preprocessing FineWeb-Edu with Luciole 50k tokenizer
Tokenizer:   /work/m24047/m24047brmn/tokenizers/luciole_50k
Input:       /work/shares/IA-Datasets/fineweb_edu_10bt_shuffled
Output:      /tmpdir/m24047brmn/nemo_1b/data_fwe_50k/fineweb_edu_text_document.{bin,idx}
Max tokens:  10000000000
==========================================
2026-02-06 16:51:13,486 - INFO - The multistorageclient package is available.
2026-02-06 16:51:17,615 - INFO - Detected Megatron Core, using Megatron-FSDP with Megatron.
2026-02-06 16:51:17,618 - INFO - Detected Megatron Core, using Megatron-FSDP with Megatron.
2026-02-06 16:51:19,316 - INFO - Loading tokenizer from: /work/m24047/m24047brmn/tokenizers/luciole_50k
2026-02-06 16:51:19,340 - INFO - Loaded SentencePiece tokenizer with vocab size: 50256
2026-02-06 16:51:19,340 - INFO - EOS token ID: 3
2026-02-06 16:51:19,340 - INFO - Reading JSONL files from: /work/shares/IA-Datasets/fineweb_edu_10bt_shuffled
2026-02-06 16:51:19,344 - INFO - Starting tokenization (target: 10,000,000,000 tokens)...
2026-02-06 17:14:08,812 - INFO - Progress: 520,000 docs, 542,851,303 tokens (5.43%)
2026-02-06 17:14:35,789 - INFO - Progress: 530,000 docs, 553,534,216 tokens (5.54%)
2026-02-06 17:15:02,924 - INFO - Progress: 540,000 docs, 564,290,266 tokens (5.64%)
2026-02-06 17:15:29,412 - INFO - Progress: 550,000 docs, 574,740,179 tokens (5.75%)
2026-02-06 17:15:55,189 - INFO - Progress: 560,000 docs, 585,027,000 tokens (5.85%)
2026-02-06 17:16:22,392 - INFO - Progress: 570,000 docs, 595,800,294 tokens (5.96%)
2026-02-06 17:16:49,269 - INFO - Progress: 580,000 docs, 606,366,293 tokens (6.06%)
2026-02-06 17:17:15,703 - INFO - Progress: 590,000 docs, 616,834,253 tokens (6.17%)
2026-02-06 17:17:41,590 - INFO - Progress: 600,000 docs, 627,046,463 tokens (6.27%)
2026-02-06 17:18:07,969 - INFO - Progress: 610,000 docs, 637,509,369 tokens (6.38%)
2026-02-06 17:18:34,451 - INFO - Progress: 620,000 docs, 648,011,534 tokens (6.48%)
2026-02-06 17:19:00,554 - INFO - Progress: 630,000 docs, 658,398,520 tokens (6.58%)
2026-02-06 17:19:27,048 - INFO - Progress: 640,000 docs, 668,956,100 tokens (6.69%)
2026-02-06 17:19:54,484 - INFO - Progress: 650,000 docs, 679,725,910 tokens (6.80%)
2026-02-06 17:20:20,605 - INFO - Progress: 660,000 docs, 690,070,328 tokens (6.90%)
2026-02-06 17:20:46,601 - INFO - Progress: 670,000 docs, 700,386,744 tokens (7.00%)
2026-02-06 17:21:13,382 - INFO - Progress: 680,000 docs, 710,948,154 tokens (7.11%)
2026-02-06 17:21:39,480 - INFO - Progress: 690,000 docs, 721,213,947 tokens (7.21%)
2026-02-06 17:22:06,009 - INFO - Progress: 700,000 docs, 731,769,702 tokens (7.32%)
2026-02-06 17:22:31,668 - INFO - Progress: 710,000 docs, 741,929,378 tokens (7.42%)
2026-02-06 17:22:57,986 - INFO - Progress: 720,000 docs, 752,352,250 tokens (7.52%)
2026-02-06 17:23:23,480 - INFO - Progress: 730,000 docs, 762,466,029 tokens (7.62%)
2026-02-06 17:23:49,833 - INFO - Progress: 740,000 docs, 772,909,662 tokens (7.73%)
