tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
65k-arab-regional,32000,Basque,eus,2.518,3.094,1971.873309135437,3896094623,499999531,1259198585
65k-arab-regional,32000,Code,c++,3.67,3.025,347.2938086986542,554859434,49992022,183454823
65k-arab-regional,32000,Code,javascript,6.032,2.683,544.0772969722748,809294040,49999987,301623215
65k-arab-regional,32000,Code,python,3.5,3.376,332.67926239967346,590864751,49999990,175016943
65k-arab-regional,32000,Code,tex,3.762,2.578,324.4776513576508,484856401,49995100,188104655
65k-arab-regional,32000,English,Europarl.en,1.253,4.808,177.40636444091797,339370705,56334280,70588636
65k-arab-regional,32000,English,Wikipedia.en,1.77,3.11,1629.8126544952393,2753108852,499999890,885114432
65k-arab-regional,32000,French,Europarl.fr,1.334,4.803,227.7008945941925,338630065,52845204,70504124
65k-arab-regional,32000,French,Wikipedia.fr,1.834,3.079,1697.6230404376984,2823112420,499999927,916905520
65k-arab-regional,32000,German,Europarl.de,1.761,4.116,222.97259044647217,326931605,45108933,79422033
65k-arab-regional,32000,German,Wikipedia.de,2.178,3.011,1898.553945064545,3278956474,499999919,1088862069
65k-arab-regional,32000,Italian,Wikipedia.it,1.93,2.956,1703.0933134555817,2851639813,499999419,964817271
65k-arab-regional,32000,Spanish,Europarl.es,1.455,4.258,223.4617030620575,324518110,52369273,76215004
65k-arab-regional,32000,Spanish,Wikipedia.es,1.803,3.231,1637.2713198661804,2912972152,499999897,901683967
GPT-4,32000,Basque,eus,2.819,2.764,788.1348040103912,3896094623,499999531,1409696398
GPT-4,32000,Code,c++,3.184,3.486,111.69771099090576,554859434,49992022,159174237
GPT-4,32000,Code,javascript,5.014,3.228,158.61896991729736,809294040,49999987,250715696
GPT-4,32000,Code,tex,3.335,2.908,89.72494864463806,484856401,49995100,166722078
GPT-4,32000,English,Europarl.en,1.175,5.127,33.020912885665894,339370705,56334280,66190627
GPT-4,32000,English,Wikipedia.en,1.538,3.581,553.2976582050323,2753108852,499999890,768853856
GPT-4,32000,French,Europarl.fr,1.672,3.833,45.85313129425049,338630065,52845204,88347342
GPT-4,32000,French,Wikipedia.fr,1.856,3.042,659.2245535850525,2823112420,499999927,927943204
GPT-4,32000,German,Europarl.de,1.949,3.719,43.571595191955566,326931605,45108933,87909535
GPT-4,32000,German,Wikipedia.de,2.116,3.099,710.2567582130432,3278956474,499999919,1057912846
GPT-4,32000,Italian,Wikipedia.it,1.898,3.005,657.5301351547241,2851639813,499999419,949002317
GPT-4,32000,Spanish,Europarl.es,1.565,3.96,43.34251141548157,324518110,52369273,81955923
GPT-4,32000,Spanish,Wikipedia.es,1.755,3.319,576.394793510437,2912972152,499999897,877576699
Gemma,32000,Arabic,Wikipedia.ar,2.27,2.664,976.7742352485656,1655638539,273803280,621516130
